Name,Instrument,Teachers,Schools,Competitions,Festivals,Chamber Groups,Chamber Group Partners,When Began Current
Danny Lai,Viola,Dr. Roland Vamos; Charles Pikler,Northwestern University,Jefferson Symphony International Young Artists Competition; Thaviu String Competition; Luminarts Union League Strings Competition,"Pacific Music Festival Orchestra (Japan); Lucerne Festival Academy (Switzerland); YouTube Symphony Orchestra (Sydney, Australia)",Civitas; Chicago Chamber Musicians; Chicago Pro Musica,CSO,2014
Wei-Ting Kuo,Viola,Paul Coletti; Hsin-Yun Huang; Yizhak Schotten,National Taiwan Normal University; Mannes School of Music; Colburn School,Primrose International Viola Competition (2008); Tokyo International Viola Competition (2009),Taos Music Festival; Ravinia Festival; Verbier Festival Academy,Arcas Quartet,Nobuko Imai,2014
Weijing Michal,Viola,Li-Kuo Chang,Shanghai Conservatory of Music; Chicago College of Performing Arts at Roosevelt University,Robertson Award in the Primrose International Viola Competition; Second prize in the Chicago National Viola Competition; Gold medal in the Shenyang National Viola Competition; Third prize in the Beijing National Viola Competition,,Chicago Peridot String Quartet,Members of the Vermeer String Quartet,2012
Max Raimi,viola,,Northwestern University,,,Chicago Symphony Orchestra,,1984
Diane Mues,viola,Elaine Duckwall; Ruth Ray; Milton Preves,DePaul University,,Tanglewood Music Festival,,,1987
Lawrence Neuman,viola,Heidi Castleman; Donald McInnes; Robert Vernon,Eastman School of Music; University of Southern California; Cleveland Institute of Music,,Boston; Marlboro; La Jolla; Madison; Napa; Portland; Davenport,Miami String Quartet,Daniel Barenboim; Pinchas Zukerman; Yefim Bronfman; Lydia Artymiw; Gil Shaham; Aaron Rosand,1991
John Sharp,cello,Lev Aronson; Lynn Harrell,,International Tchaikovsky Competition,Marlboro Festival; Santa Fe Festival; La Jolla Festival; Vail Festival; Chamber Music Society of Lincoln Center,duo with Liba Shacht,Liba Shacht; Mitsuko Uchida; Yo-Yo Ma; Pinchas Zukerman; Emmanuel Ax; Christoph Eschenbach,1694
Kenneth Olsen,cello,Richard Aaron; Joel Krosnick; Luis Garcia-Renart,Cleveland Institute of Music; Juilliard School of Music; Bard College,Cleveland Institute of Music concerto competition; Nakamichi Cello Competition at Aspen Music Festival; Holland-America Music Society Competition,Ravinia Festivals professional studies program; Tanglewood Institute,East Coast Chamber Orchestra; Civitas Ensemble,Stephanie Jeong,2005
Loren Brown,cellist,,,,Affinis Arts Foundation summer festival,Chicago Pro Musica; Chicago Chamber Musicians; Chicago Symphony Chamber Players; Pro Musica Nova,Anne Monson,1985
Karen Basrak,cello,Adele ODwyer; Gilda Barston; Richard Hirschl; Eleonore Schoenfeld,University of Southern California,Gregor Piatigorsky Award,Los Angeles Philharmonic; Northwest Symphony Orchestra; Harper Symphony Orchestra; Kishwaukee Symphony Orchestra; Elmhurst Symphony Orchestra; Skokie Valley Symphony Orchestra; Greenville Symphony Orchestra; Winnetka Chamber Orchestra; Marina del ReyWestchester Symphony; American Youth Symphony,,,2012
Daniel Katz,Cellist,Hans Jensen; Paul Katz; Richard Hirschl; Gilda Barston,Northwestern University; New England Conservatory; Northern Illinois University,,Tanglewood; Verbier; Sarasota; Norfolk,Chicago Pro Musica,Victoria Bond; James M. Stephenson,2011
Richard Hirschl,cello,Savely Schuster; Leonard Rose; Channing Robbins,Juilliard School,Juilliard Concerto Competition; Irving M. Klein International String Competition; St. Louis Symphony Scholarship Competition,New York debut with the Juilliard Orchestra,Juilliard Orchestra; Peoria Symphony; Jupiter Symphony; St. Louis Philharmonic; Maracaibo Symphony; National Repertory Orchestra; St. Louis Chamber Orchestra; Philharmonia Virtuosi of New York,Daniel Barenboim; Sir Andrs Schiff; Ursula Oppens; Lynn Harrell; Yo-Yo Ma; Vadim Repin,1989
Katinka Kleijn,cello,,,,Marlboro Music Festival; Chicago Humanities Festival,International Contemporary Ensemble (ICE),Yo-Yo Ma; Pierre-Laurent Aimard; Christoph Eschenbach,2016
Alexander Hanna,Double Bass,Hal Robinson; Edgar Meyer; Scott Haigh; Kay Moore; Virginia Marks,Curtis Institute of Music,,Great Lakes Chamber Music Festival; Bellingham Festival of Music,Australian Chamber Orchestra; East Coast Chamber Orchestra,Yo-Yo Ma; Mitsuko Uchida; Jeremy Denk,2012
Alexander Horton,bassist,Melanie Punter; Bruce Bransby,Florida State University; Indiana University,,Aspen Music Festival; Marrowstone Music Festival; National Music Festival,,,2017
Brant Taylor,cello,Jnos Starker; Paul Katz,Eastman School of Music; Indiana University,Banff International String Quartet Competition; Fischoff Chamber Music Competition,"Festival der Zukunft (Ernen, Switzerland); Portland Chamber Music Festival; Shanghai International Music Festival; Aspen Music Festival; Mimir Chamber Music Festival (Melbourne, Australia); Mammoth Lakes Chamber Music Festival; Strings Music Festival (Steamboat Springs, Colo.); International Cello Institute; Lakes Area Music Festival (Minnesota); Music Festival Santo Domingo; Village Bach Festival (Michigan); Music at Gretna; Arizona Musicfest",Everest Quartet,,1987
Daniel Carson,double bass,Andrew Anderson; Lawrence Hurst; Bruce Bransby; David Allen Moore,Indiana University Jacobs School of Music; University of Southern California,,New World Symphony; Aspen Music Festival and School; Music Academy of the West; Tanglewood Music Center,,,2016
Ian Hallas,Bass,Paul Ellison; David Moore,Rice University; University of Southern California,Tanglewood Music Center Maurice Schwartz Prize,Spoleto Festival USA; Aspen Music Festival; Music Academy of the West; Domaine Forget Summer Music Academy,St. Lawrence Quartet; Chamber Music Society of Lincoln Center,Members of the Chamber Music Society of Lincoln Center,2016
Mark Kraemer,bass,Harold Siegel; Joseph Guastafeste,Civic Orchestra of Chicago,,,,,1974
Stephen Lester,Violin,,Northwestern University,,Grant Park Symphony Orchestra,,,1978
Robert Kassinger,Double Bass,Frank Carroll; Homer Mensch; Stuart Sankey; Bruce Bransby,DePaul University,,West-Eastern Divan Orchestra; Canton International Summer Music Academy; International Society of Bassists,Fine Arts Quartet; Music of the Baroque,Daniel Barenboim; Yo-Yo Ma; Silk Road Ensemble,1993
Bradley Opland,bass,Stanislaw Skrowaczewski,Curtis Institute of Music,,,,,1984
Andrew Sommer,double bass,Albert Laszlo; Leigh Mesh; Hal Robinson,The Juilliard School,,Verbier Festival Orchestra; Aspen Music Festival,Taiwan Connection,,2023
Lynne Turner,Harp,Alberto Salvi; Pierre Jamet,Paris Conservatory,International Harp Contest in Israel,Vancouver International Music Competition,CSO,Betty Lambert,1962
Stefn Ragnar Hskuldsson,flute,Bernhard Wilkinson; Peter Lloyd; Wissam Boustany,Reykjavk School of Music; Royal Northern College of Music,,Pacific Music Festival in Sapporo; Galway International Flute Festival,Met Orchestra and Chamber Ensemble,Evgeny Kissin; Alfred Brendel; Yefim Brofman; Gil Shaham; Diana Damrau; Anna Netrebko,2015
Yevgeny Faniuk,Flute,Linda Chesis; Jeanie Baxtresser,Manhattan School of Music; Carnegie Mellon University,Flute Talk magazine contests; N.Y. Flute Club competitions; First Haifa International competition; Jerusalem Young Artists competitions,Verbier Festival Orchestra,,,2015
Emma Gerstein,flute,Susan Levitin; Robert Langevin; Thomas Robertello,Manhattan School of Music; Indiana University,,Aspen Music Festival; Spoleto USA; Sarasota Music Festival; Orford Music Festival; Cabrillo Music Festival,Eighth Blackbird; Chicago Chamber Musicians; Dempster Street Pro Musica; Civitas Ensemble; Spektral Quartet,Paquito DRivera,2017
Jennifer M. Gunn,Flute and Piccolo,Robert Langevin; Rhian Kenny; George Pope; Mary Kay Robinson,Mary Pappert School of Music at Duquesne University; University of Akron,,Sunflower Music Festival; Buzzards Bay Musicfest; Arizona Musicfest; St. Barts Music Festival,Civitas Ensemble,Jonathan Gunn,2005
Jennifer M. Gunn,flute and piccolo,Robert Langevin; Rhian Kenny; George Pope; Mary Kay Robinson,Mary Pappert School of Music at Duquesne University; University of Akron,,Bach Week Festival; Dempster Street Pro Musica; Music of the Baroque; Civitas Ensemble; Sunflower Music Festival; Buzzards Bay Musicfest; Arizona Musicfest; St. Barts Music Festival,CSO Chamber Music series; Once Upon a Symphony series,Daniel Barenboim; Ludovic Morlot; Harry Bicket; Nicholas Kraemer; Pinchas Zukerman; Riccardo Muti; Mason Bates; Anna Clyne; Victoria Bond,2005
Lora Schaefer,oboe,John Mack; Robert Atherholt; Florence Meyers; John Dee; Daniel Stolper,Cleveland Institute of Music; Shepherd School of Music at Rice University,,Grand Teton Music Festival; Tanglewood Music Center; Blossom Music Festival; National Orchestral Institute,,,2009
Scott Hostetler,Oboe,John Mack; Elaine Douvas,Cleveland Institute of Music; Juilliard School,,Aspen Music Festival,Chicago Symphony Orchestra,,2002
William Welter,Oboe,Richard Woodhams; Robert Walters; Eugene Izotov; Christopher Philpotts; Daniel Stolper,Curtis Institute of Music; Oberlin Conservatory,,Tanglewood Music Center; Aspen Music Festival; Bravo Vail Festival; Music Academy of the West,Saint Paul Chamber Orchestra,,2018
Scott Hostetler,Oboe,John Mack; Elaine Douvas,Cleveland Institute of Music; Juilliard School,,Aspen Music Festival,,,2002
John Bruce Yeh,Clarinet,Georg Solti,,1982 Munich International Music Competition; 1985 Naumburg Clarinet Competition,Marlboro Music Festival; Taipei Music Academy Festival; Chamber Music Society of Lincoln Center,Guarneri; Ying; Colorado; Calder; Pacifica,Teresa Reilly; Wang Guowei; Yang Wei,1977
Gregory Smith,clarinet,Robert Marcellus,Northwestern University; University of Michigan; Roosevelt University's Chicago College of Performing Arts,,Ravinia Festival Orchestra; Scotia Festival Symphony Orchestra; Bay Chamber Concerts; Las Vegas Music Festival; Affinis Music Festival,Chamber Soloists of Chicago,Lincoln Center Chamber Players; Vermeer Quartet; Chicago Symphony Winds,1983
John Bruce Yeh,clarinet,Georg Solti; Neeme Jrvi; Pierre Boulez,"Roosevelt Universitys Chicago College for the Performing Arts; Midwest Young Artists in Fort Sheridan, Illinois",1982 Munich International Music Competition; 1985 Naumburg Clarinet Competition in New York,Marlboro Music Festival; Taipei Music Academy Festival; Chamber Music Society of Lincoln Center,Chicago Pro Musica; Birds and Phoenix,Teresa Reilly; Wang Guowei; Yang Wei,1977
Stephen Williamson,clarinet,Peter Rieckhoff; Charles Neidich; Kenneth Grant; Michael Webster,Eastman School of Music; Juilliard School; Hochschule der Knste,,Pacific Music Festival; Domaine Forget International Music Festival; Saito Kinen Festival,CSO Chamber Players; Aspen Wind Quintet; Dorian Wind Quintet; Sylvan Wind Quintet; Brentano String Quartet; American String Quartet; Jasper String Quartet; Brasilia String Quartet; Dover String Quartet,Yo-Yo Ma; Mitsuko Uchida; Jeffrey Kahane; Anne-Marie McDermott; Emanuel Ax; Meliora Winds,2011
Keith Buncke,Bassoon,Daniel Matsukawa; Dr. Eric Stomberg; Mark Eubanks,Curtis Institute of Music,National Endowment of the Arts Presidential Scholar program,Marlboro; La Jolla; Tanglewood; Pacific Music Festival; Music Academy of the West; Sarasota Music Festival; Aspen Music Festival,International Chamber Artists,Vadim Gluzman; Mitsuko Uchida,2015
William Buchman,bassoon,Arthur Weisberg; Norman Herzberg,Yale University School of Music; University of Southern California Thornton School of Music,1990 Gillet Competition of the International Double Reed Society,Mostly Mozart Festival at Lincoln Center; Eastern Shore Chamber Music Festival; Grand Teton Music Festival; Saint Barts Music Festival,Chicago Chamber Musicians; Chicago Pro Musica; Chicago Symphony Winds; Music of the Baroque,Daniel Barenboim; Christoph Eschenbach; Yefim Bronfman; Emanuel Ax,1992
Mark Almond,Horn,,Cambridge University; Oxford University; Imperial College London,,Music@Menlo; Cleveland ChamberFest; Santa Fe Chamber Music,,,2021
Miles Maner,bassoonist and contrabassoonist,Benjamin Kamins; Kristin Wolfe Jensen,Rice University; University of Texas,,Pacific Music Festival; Tanglewood Music Center; National Repertory Orchestra,Chicago Symphony Winds; Dempster Street Pro Musica; Civitas Ensemble; Rembrandt Chamber Players; Rush Hour summer concert series,,2013
David Griffin,horn,Not Available,Northwestern University,,Ravinia Festival; Sun Valley; Grand Teton; Tanglewood; Manchester (VT); Madeline Island,Prairie Winds; CSO Brass Quintet,,1995
James Smelser,horn,James Smelser Sr.; Frank Brouk; Norman Schweikert; Gerd Seifert; Dale Clevenger,Northwestern University; Hochschule der Knste in Berlin,Ravinia Festival,Ravinia Festival,,,2000
Susanna Gaunt,horn,Richard Sebring; Norman Bolter; Richard Mackey; Nedo Pandolfi,New England Conservatory of Music,,Napa Valleys Music in the Vineyards Festival; Pacific Music Festival; Tanglewood Music Festival,San Diego Chamber Orchestra; New World Symphony,,2006
Oto Carrillo,French Horn,Jon Boen; Gail Williams; Dale Clevenger,DePaul University; Northwestern University,,National Repertory Orchestra; National Orchestral Institute; Tanglewood Music Center Orchestra; Grant Park Symphony Orchestra; Mostly Mozart Festival; Grand Teton Music Festival Orchestra,Chicago Chamber Musicians; Millar Brass Ensemble; CSO's MusicNOW series,,2000
Daniel Gingrich,horn,Richard Oldberg,Roosevelt Universitys Chicago Musical College,,,Chicago Pro Musica,,1975
John Hagstrom,trumpet,,Eastman School of Music,,,,,1996
Mark Ridenour,trumpet,Daniel Barenboim,Asbury College; University of Cincinnati College-Conservatory of Music,Grammy Award,Highland Park Strings,brass bands,Cincinnati Symphony Orchestra,1994
Esteban Batalln,trumpet,,Conservatory of Music in Pontevedra; Conservatory of Music of Vigo; Galicia School of Musical Studies,Jeunesses Musicales of Spain Competition (2001); Yamaha Xeno National Competition (2002); Jeunesses Musicales of Europe Competition (2003); Yamaha International Competition (2003); Maurice Andr International Trumpet Competition (2006),Gstaad Festival Orchestra; Brass Festivals,,,2019
Tage Larsen,trumpet,Barbara Butler,Michigan State University; Eastman School of Music,,,,,2002
Jay Friedman,trombone,,Yale University; Roosevelt University,,,,,1962
Charles Vernon,bass trombone,William Bill Hill; Gail Wilson; Arnold Jacobs; Edward Kleinhammer,Brevard College; Georgia State University; Arizona State University,,Brevard Music Center,,,1971
Charles Vernon,bass trombone,William Bill Hill; Gail Wilson; Arnold Jacobs; Edward Kleinhammer,Brevard College; Georgia State University; Arizona State University,Ellen Taaffe Zwilichs Concerto for Bass Trombone (1991); James Stephensons Concerto for Bass Trombone (2019),,,Alison Vernon,1991
Gene Pokorny,tuba,Jeffrey Reynolds; Larry Johansen; Tommy Johnson; Roger Bobo,University of Southern California; University of Redlands,,,,,1989
Michael Mulcahy,trombone,Jack Mulcahy; Baden McCarron; Geoffrey Bailey,State Conservatorium of New South Wales; Canberra School of Music; Australian National University; Northwestern Universitys Bienen School of Music; Australian National Academy of Music,Australian Broadcasting Corporation Instrumental Competition; ARD International Music Competition in Munich; Viotti International Competition in Italy; International Instrumental Competition in Markneukirchen,Grand Teton Music Festival,National Brass Ensemble,Alexander Briger; Zubin Mehta; Sir Simon Rattle; Riccardo Muti,1989
Vadim Karpinos,percussion,Christopher Lamb; Duncan Patton; Don Liuzzi,Manhattan School of Music,Soviet Unions Young Virtuoso competition,Tanglewood,Chicago Symphony Orchestra,,2001
David Herbert,timpani,Riccardo Muti,St. Louis Conservatory of Music; Juilliard School,St. Louis Symphony young artist competition (1991),"Pacific Music Festival in Sapporo, Japan; Mainly Mozart Festival",,,2013
Cynthia Yeh,Percussion,Alan Abel,University of British Columbia; Temple University,,Aspen Music Festival,,,2007
Patricia Dash,Percussion,John Beck; Ruth Cahn; Allen Otte; Richard Jensen; Doug Howard,Eastman School of Musics Preparatory Department; Eastman,,,Chicago Chamber Musicians; Chicago Pro Musica; CSO Trombone Ensemble; Ensemble Intercontemporain of Paris,Doug Waddell,1986
Vadim Karpinos,percussion,Christopher Lamb; Duncan Patton; Don Liuzzi,Manhattan School of Music,Soviet Unions Young Virtuoso competition,Tanglewood,Chicago Symphony Orchestra,,2001
James Ross,percussion,,Eastman School of Music,,Percussive Arts Society International Convention,Chicago Symphony Orchestra,various members of the Chicago Symphony Orchestra,1979
Carole Keller,cello,,St. Olaf College,,,family quartet,two older sisters; older brother,2000
Justin Vibbard,Principal Librarian,Peter Conover; Carole Keller; Mark Swanson; Tim Howe; Robert Sutherland,University of Nebraska,,Mostly Mozart Music Festival at Lincoln Center; Britt Festival; Sarasota Music Festival; Grant Park Music Festival; Aspen Music Festival; Santa Fe Opera,,,2023
Mark Swanson,trombone,William Russo; William Ferris; Hans Wurman; Richard Faller; James Gilbertsen,Columbia College; American Conservatory of Music,,,,,1984
Gabriela Lara,violin,Almita Vamos; Jose Francisco del Castillo; Francisco Diaz,Chicago College of Performing Arts at Roosevelt University,2021 Sphinx Solo Competition; 2021 Frank Preuss International Violin Competition,Grant Park Symphony Orchestra's Project Inclusion Fellowship,Latin American Violin Academy; El Sistema,Gustavo Dudamel; Simn Bolvar Symphony Orchestra,2022
Olivia Reyes,Bass,Jon McCullough-Benner,Chicago College of Performing Arts at Roosevelt University,"National Repertory Orchestra in Breckenridge, Colorado",Opera Festival of Chicago,Civic Orchestra of Chicago; Illinois Philharmonic Orchestra; Camerata Chicago,,2021
Jess Linrez,Violin,Almita Vamos; Jose Francisco del Castillo,Chicago College of Performing Arts at Roosevelt University; Conservatorio de Msica Vicente Emilio Sojo,2023 Concerto Competition; 2021 Sphinx Solo Competition; 2022 Evanston Music Club Scholarship; 2021 Chicago Violin Competition,,Latn American Violin Academy; Venezuelan Youth Symphony Orchestra; Teresa Carreo Symphony Orchestra,Gustavo Dudamel,2017
Martin Chalifour,Violin,Not specified in the text,Montreal Conservatory; Curtis Institute of Music,Tchaikovsky Competition in Moscow; Montreal International Competition,Mainly Mozart Festival; Ottawa Chamber Music Festival,Cleveland Orchestra Piano Trio,Not specified in the text,1995
Nathan Cole,violin,Donna Wiehe; Daniel Mason; Pamela Frank; Felix Galimir; Ida Kavafian; Jaime Laredo,Curtis Institute of Music,,,Grancino String Quartet,,2011
Bing Wang,Violin,Berl Senofsky; Glenn Dicterow,Shanghai Conservatory of Music; Peabody Conservatory; Manhattan School of Music,,Aspen Music Festival and School,,Lang Lang; Yefim Bronfman; Emanuel Ax; Jean-Yves Thibaudet,1994
Rebecca Reale,violin,Peter Zazofsky; Kathleen Winkler,Rice University,New World Symphony concerto competition,,,,2016
ROCHELLE ABRAMSON,violinist,Juilliard School of Music,Juilliard School of Music,Artists International Auditions; National Federation of Music Clubs Biennial Competition; National Stillman-Kelly Competition; Palm Beach Flagler-Matthews Competition,Long Beach Bach Festival,Los Angeles Philharmonic's first violin section,members of the Los Angeles Philharmonic,1978
Akiko Tarumoto,violin,Masao Kawasaki; Dorothy DeLay; Glenn Dicterow,Juilliard School; Harvard University,,"Aspen; Taos; Spoleto (Italy); Mimir Festival (Fort Worth, Texas); Chamber Music Festival of Lexington (Kentucky)",Los Angeles Philharmonic Chamber Music series; Rush Hour series; Chicago Symphony chamber series; Winter Chamber Music Festival at Northwestern University; MusicNOW contemporary series,Daniel Barenboim,2011
Rochelle Abramson,Violinist,,,National Federation of Music Clubs Biennial Competition; National Stillman-Kelly Competition; Palm Beach Flagler-Matthews Competition; Artists International Auditions,Long Beach Bach Festival; Peninsula Symphony's annual Summer Concerts; Carson Symphony; San Juan Capistrano Symphony,,,1978
Camille Avellano,Violin,Dorothy DeLay,University of Cincinnati College-Conservatory of Music,Debut as soloist with the Chicago Symphony at age 13,"Salzburg Festival; Festival Bahnhof Rolandseck in Bonn, Germany",Los Angeles Philharmonics chamber music series,Andr Previn; Isaac Stern; Bernard Greenhouse; Lars Vogt,1981
Miika Gregg,violin,Aza Raykhtsaum; Koichiro Harada; Ik-Hwan Bae; William Preucil; Emanuel Borok; Alex Kerr,Indiana University; Cleveland Institute of Music; Southern Methodist University,,Aspen Music Festival and School,,Dallas Symphony,2017
